"fecha_deteccion","fuente","identificador","fecha_registro","entidad","grupo","nivel_relacion","valor"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9776097","2026-08-11","GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD","Gobernación del Valle","Contexto","30000000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818729","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","10400000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818545","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","10400000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818717","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","14310000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818814","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","14310000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818823","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","10400000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818416","2026-08-10","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE PAZ Y CULTURA CIUDADANA","Alcaldía de Cali","Contexto","5584000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818742","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","15880000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9792856","2026-08-11","ALCALDIA DE CARACOLI","Fuera del Valle","Contexto","4300000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9791523","2026-08-11","CAJA DE LA VIVIENDA POPULAR//","Fuera del Valle","Contexto","40600000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9790441","2026-08-11","SECRETARIA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA","Fuera del Valle","Otra urgencia","26506956"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818727","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","13080000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818737","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","8320000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10822611","2026-08-10","MUNICIPIO DE EL CERRITO.","Otras entidades del Valle","Contexto","47253000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818724","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","13080000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10820369","2026-08-10","ESTABLECIMIENTO PÚBLICO AMBIENTAL DEL DISTRITO DE BUENAVENTURA","Otras entidades del Valle","Contexto","450000000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818516","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","14310000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10815079","2026-08-10","ARMADA NACIONAL BASE NAVAL ARC MALAGA","Otras entidades del Valle","Contexto","220265668"
"2026-08-12 20:06:54","procesos","CO1.REQ.10820805","2026-08-10","ESTABLECIMIENTO PÚBLICO AMBIENTAL DEL DISTRITO DE BUENAVENTURA","Otras entidades del Valle","Contexto","490000000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818808","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","19850000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818740","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","8320000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818536","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","10464000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818735","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","13080000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10820269","2026-08-10","ESTABLECIMIENTO PÚBLICO AMBIENTAL DEL DISTRITO DE BUENAVENTURA","Otras entidades del Valle","Contexto","480000000"
"2026-08-12 20:06:54","procesos","CO1.REQ.10818721","2026-08-10","Departamento Administrativo de Planeación - Alcaldía de Tuluá","Otras entidades del Valle","Contexto","13080000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9792776","2026-08-11","MUNICIPIO DE PALESTINA CALDAS","Fuera del Valle","Alta","6500000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9775493","2026-08-10","DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA-SUROCCIDENTE","Otras entidades del Valle","Contexto","6568500"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9779854","2026-08-10","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA","Alcaldía de Cali","Contexto","15788000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9777644","2026-08-11","GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD","Gobernación del Valle","Contexto","25000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9777986","2026-08-11","GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD","Gobernación del Valle","Contexto","28840000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9780906","2026-08-10","SECRETARIA DE AMBIENTE Y DESARROLLO SOSTENIBLE","Gobernación del Valle","Contexto","5500000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9781708","2026-08-10","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA","Alcaldía de Cali","Contexto","3947000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9780350","2026-08-11","GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD","Gobernación del Valle","Contexto","35000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9782741","2026-08-10","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA","Alcaldía de Cali","Contexto","4805000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9788785","2026-08-10","Sena - Centro Agropecuario de Buga","Otras entidades del Valle","Contexto","19265833"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9776594","2026-08-11","MUNICIPIO DE EL CERRITO.","Otras entidades del Valle","Contexto","14750000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9792174","2026-08-11","ALCALDIA MUNICIPIO DE JAMUNDI","Otras entidades del Valle","Contexto","19000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9779330","2026-08-11","INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE PALMIRA","Otras entidades del Valle","Contexto","11600000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9775952","2026-08-11","BIBLIOTECA DEPARTAMENTAL JORGE GARCES BORRERO","Otras entidades del Valle","Contexto","22000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9774331","2026-08-10","Sena - Centro Agropecuario de Buga","Otras entidades del Valle","Contexto","17528750"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9792162","2026-08-11","MUNICIPIO DE PRADERA","Otras entidades del Valle","Contexto","650000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9776499","2026-08-11","GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD","Gobernación del Valle","Contexto","20000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9776345","2026-08-10","MUNICIPIO DE BUGALAGRANDE","Otras entidades del Valle","Contexto","48896330"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9778843","2026-08-11","INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE PALMIRA","Otras entidades del Valle","Contexto","20000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9790135","2026-08-10","ALCALDIA MUNICIPIO DE VILLAVICENCIO","Fuera del Valle","Otra urgencia","20000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9776724","2026-08-11","ALCALDIA MUNICIPAL DE SAN PEDRO VALLE DEL CAUCA","Otras entidades del Valle","Contexto","11000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9781237","2026-08-10","MUNICIPIO DE SAN JUAN BAUTISTA DE GUACARI2","Otras entidades del Valle","Contexto","10000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9783245","2026-08-10","FISCALÍA GENERAL DE LA NACIÓN REGIONAL PACÍFICO","Otras entidades del Valle","Contexto","76854483"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9778794","2026-08-11","ARMADA NACIONAL BASE NAVAL ARC MALAGA","Otras entidades del Valle","Contexto","335293197.39"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9773085","2026-08-10","Sena - Centro Agropecuario de Buga","Otras entidades del Valle","Contexto","18634167"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9756093","2026-08-11","HOSPITAL SAN RAFAEL EL CERRITO","Otras entidades del Valle","Contexto","20000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9791643","2026-08-10","INSTITUTO DESCENTRALIZADO BUGA ABASTOS","Otras entidades del Valle","Contexto","8800000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9781566","2026-08-10","MUNICIPIO DE SAN JUAN BAUTISTA DE GUACARI2","Otras entidades del Valle","Contexto","171428286"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9778428","2026-08-11","ALCALDIA MUNICIPAL DE SAN PEDRO VALLE DEL CAUCA","Otras entidades del Valle","Contexto","11500000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9788930","2026-08-10","Sena - Centro Agropecuario de Buga","Otras entidades del Valle","Contexto","19265833"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9792587","2026-08-11","ALCALDIA MUNICIPIO DE JAMUNDI","Otras entidades del Valle","Contexto","25000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9783444","2026-08-10","INSTITUTO DESCENTRALIZADO BUGA ABASTOS","Otras entidades del Valle","Contexto","6450000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9781394","2026-08-11","MUNICIPIO DE PRADERA","Otras entidades del Valle","Contexto","11250000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9780736","2026-08-10","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA","Alcaldía de Cali","Contexto","4805000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9778043","2026-08-10","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA","Alcaldía de Cali","Contexto","3947000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9772118","2026-08-10","PLANEACIÓN MUNICIPAL CALI**","Alcaldía de Cali","Contexto","167746950"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9778227","2026-08-11","INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE PALMIRA","Otras entidades del Valle","Contexto","8000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9792708","2026-08-11","ALCALDIA MUNICIPIO DE JAMUNDI","Otras entidades del Valle","Contexto","14000000"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9787724","2026-08-10","Sena - Centro Agropecuario de Buga","Otras entidades del Valle","Contexto","249999992"
"2026-08-12 20:06:54","contratos","CO1.PCCNTR.9777935","2026-08-11","GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD","Gobernación del Valle","Contexto","30000000"
