# Decisiones de revision humana sobre operaciones clasificadas por el colector.
# Se edita en github.com (boton del lapiz) y la siguiente corrida lo aplica.
#
#   identificador  el id de SECOP de la operacion: CO1.REQ.* o CO1.PCCNTR.*
#                  Sale en cada fila del tablero, debajo del numero de referencia.
#   decision       relacionado  -> pasa a "Del sismo"
#                  descartado   -> pasa a "Ordinaria"
#   nota           por que. Se muestra en el tablero: escribala para otro lector.
#
# Basta con marcar UNO de los dos ids de una operacion: la decision se propaga
# al proceso y a su contrato. Para deshacer, borre la linea: vuelve a mandar el
# clasificador.
identificador,decision,fecha,revisor,nota
CO1.PCCNTR.9820606,descartado,2026-08-20,jlzmontenegro,"Seguimiento ambiental de olores, ruido y calidad del aire. La justificacion de la modalidad dice urgencia manifiesta, pero el objeto no tiene relacion con el sismo."
CO1.PCCNTR.9799801,descartado,2026-08-20,jlzmontenegro,"Gobernanza acustica y zonas de proteccion: mitigacion del RUIDO, no del sismo. Engancho por la palabra mitigacion."
CO1.REQ.10820805,descartado,2026-08-20,jlzmontenegro,Conectividad ecologica y mitigacion del efecto de isla de calor. Engancho por la palabra mitigacion; sin relacion con el sismo.
CO1.REQ.10853003,descartado,2026-08-20,jlzmontenegro,Cargue y disposicion de residuos en puntos criticos del espacio publico: aseo ordinario de Cartago. Engancho por la frase puntos criticos.
CO1.REQ.10863843,descartado,2026-08-20,jlzmontenegro,Reforzamiento y demolicion de estructura en CAVASA. Revisado en SECOP: el proceso no tiene documentos que lo relacionen con el sismo.
CO1.PCCNTR.9824418,descartado,2026-08-20,jlzmontenegro,"persona natural, apoyo en albergue y clinica de adopcion (bienestar animal). Engancho por la palabra albergue."
CO1.PCCNTR.9784194,descartado,2026-08-20,jlzmontenegro,"persona natural, apoyo en albergue y clinica de adopcion (bienestar animal). Engancho por la palabra albergue."
CO1.PCCNTR.9784273,descartado,2026-08-20,jlzmontenegro,"persona natural, apoyo en albergue y clinica de adopcion (bienestar animal). Engancho por la palabra albergue."
CO1.REQ.10842827,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10842510,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.PCCNTR.9735404,descartado,2026-08-20,jlzmontenegro,"persona natural, apoyo en albergue y clinica de adopcion (bienestar animal). Engancho por la palabra albergue."
CO1.REQ.10863840,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10648282,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10842358,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.PCCNTR.9736436,descartado,2026-08-20,jlzmontenegro,"persona natural, apoyo en albergue y clinica de adopcion (bienestar animal). Engancho por la palabra albergue."
CO1.REQ.10841435,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10866773,descartado,2026-08-20,jlzmontenegro,ingenieria o estudio de mercados. Engancho por la palabra mercado.
CO1.REQ.10857830,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10862131,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857043,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857344,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857637,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857511,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857216,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857616,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10858199,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10858211,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10858290,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857623,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857532,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857737,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
